,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
2013-10-01,38.79199981689453,38.84600067138672,37.67399978637695,38.599998474121094,38.599998474121094,38779500,17.087499618530273,17.46928596496582,17.084999084472656,17.427143096923828,15.408573150634766,353883600
2013-10-02,37.71799850463867,38.36600112915039,35.08000183105469,36.189998626708984,36.189998626708984,103877000,17.343929290771484,17.564285278320312,17.27678680419922,17.484285354614258,15.459092140197754,289184000
2013-10-03,35.0099983215332,35.9379997253418,33.599998474121094,34.6619987487793,34.6619987487793,119082500,17.518213272094727,17.58392906188965,17.169286727905273,17.2646427154541,15.264893531799316,322753200
2013-10-04,35.279998779296875,36.236000061035156,34.529998779296875,36.19599914550781,36.19599914550781,72070000,17.28071403503418,17.30714225769043,17.092857360839844,17.25107192993164,15.252888679504395,258868400
2013-10-07,36.492000579833984,37.34600067138672,36.051998138427734,36.61399841308594,36.61399841308594,57428000,17.37714385986328,17.594642639160156,17.33392906188965,17.41964340209961,15.401944160461426,312292400
2013-10-08,36.880001068115234,37.18600082397461,34.641998291015625,34.94599914550781,34.94599914550781,68786000,17.49785614013672,17.522857666015625,17.16214370727539,17.176429748535156,15.186893463134766,290917200
2013-10-09,34.94599914550781,34.99800109863281,32.29999923706055,33.75600051879883,33.75600051879883,76582500,17.308570861816406,17.421070098876953,17.08142852783203,17.37821388244629,15.365309715270996,301725200
2013-10-10,34.61800003051758,35.150001525878906,33.9379997253418,34.58599853515625,34.58599853515625,44419500,17.547143936157227,17.584999084472656,17.394285202026367,17.48714256286621,15.461614608764648,278602800
2013-10-11,34.54999923706055,35.858001708984375,34.2400016784668,35.7400016784668,35.7400016784668,41555500,17.392499923706055,17.637142181396484,17.3271427154541,17.600357055664062,15.561716079711914,267738800
2013-10-14,35.0,36.5,34.83000183105469,35.944000244140625,35.944000244140625,38848000,17.493928909301758,17.770713806152344,17.47678565979004,17.715713500976562,15.663714408874512,261898000
2013-10-15,37.055999755859375,37.757999420166016,36.63600158691406,36.78799819946289,36.78799819946289,54892500,17.768213272094727,17.928571701049805,17.6971435546875,17.809999465942383,15.747081756591797,320073600
2013-10-16,36.97999954223633,37.459999084472656,36.417999267578125,36.71200180053711,36.71200180053711,41027000,17.885356903076172,17.947500228881836,17.82964324951172,17.896785736083984,15.823808670043945,251101200
2013-10-17,36.70800018310547,36.959999084472656,36.198001861572266,36.560001373291016,36.560001373291016,33525000,17.856428146362305,18.027856826782227,17.845714569091797,18.01785659790039,15.930861473083496,253593200
2013-10-18,36.83000183105469,37.19200134277344,36.50400161743164,36.68000030517578,36.68000030517578,29654000,18.07107162475586,18.187856674194336,18.061071395874023,18.17464256286621,16.069482803344727,290542000
2013-10-21,36.65599822998047,36.678001403808594,34.20000076293945,34.52000045776367,34.52000045776367,57660500,18.27750015258789,18.725000381469727,18.268571853637695,18.6200008392334,16.463260650634766,398106800
