,LINK-USD,LINK-USD,LINK-USD,LINK-USD,LINK-USD,LINK-USD,ADA-USD,ADA-USD,ADA-USD,ADA-USD,ADA-USD,ADA-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,LTC-USD,LTC-USD,LTC-USD,LTC-USD,LTC-USD,LTC-USD
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-21,,,,,,,,,,,,,382.4209899902344,392.64599609375,380.8340148925781,386.4750061035156,386.4750061035156,14188900,,,,,,,3.911799907684326,3.969939947128296,3.900360107421875,3.9400100708007812,3.9400100708007812,1948840
2014-10-22,,,,,,,,,,,,,386.1180114746094,388.57598876953125,382.2489929199219,383.1579895019531,383.1579895019531,11641300,,,,,,,3.9409499168395996,3.9599599838256836,3.8385798931121826,3.843319892883301,3.843319892883301,2094200
2014-10-23,,,,,,,,,,,,,382.9620056152344,385.0480041503906,356.4469909667969,358.4169921875,358.4169921875,26456900,,,,,,,3.8469700813293457,3.8660600185394287,3.726569890975952,3.739650011062622,3.739650011062622,3191780
2014-10-24,,,,,,,,,,,,,358.59100341796875,364.3450012207031,353.30499267578125,358.3450012207031,358.3450012207031,15585700,,,,,,,3.739490032196045,3.7798099517822266,3.7244999408721924,3.747529983520508,3.747529983520508,3557710
2014-10-25,,,,,,,,,,,,,358.6109924316406,359.8609924316406,342.87701416015625,347.27099609375,347.27099609375,18127500,,,,,,,3.748729944229126,3.7598400115966797,3.629040002822876,3.6675500869750977,3.6675500869750977,2370430
2014-10-26,,,,,,,,,,,,,347.48699951171875,359.22100830078125,343.9309997558594,354.7040100097656,354.7040100097656,11272500,,,,,,,3.668950080871582,3.7673699855804443,3.661530017852783,3.727180004119873,3.727180004119873,1986590
2014-10-27,,,,,,,,,,,,,354.7770080566406,358.6319885253906,349.8089904785156,352.989013671875,352.989013671875,13033000,,,,,,,3.72406005859375,3.893320083618164,3.7130699157714844,3.807310104370117,3.807310104370117,2694530
2014-10-28,,,,,,,,,,,,,353.2149963378906,359.9840087890625,352.6789855957031,357.6180114746094,357.6180114746094,7845880,,,,,,,3.812269926071167,3.8965799808502197,3.794680118560791,3.8460700511932373,3.8460700511932373,2222000
2014-10-29,,,,,,,,,,,,,357.0889892578125,357.8330078125,335.3429870605469,335.59100341796875,335.59100341796875,18192700,,,,,,,3.8528800010681152,3.85332989692688,3.720400094985962,3.72694993019104,3.72694993019104,2551500
2014-10-30,,,,,,,,,,,,,335.7090148925781,350.9129943847656,335.0719909667969,345.30499267578125,345.30499267578125,30177900,,,,,,,3.734499931335449,3.8191699981689453,3.7195301055908203,3.785860061645508,3.785860061645508,2667440
2014-10-31,,,,,,,,,,,,,345.0090026855469,348.0450134277344,337.1419982910156,338.3210144042969,338.3210144042969,12545400,,,,,,,3.7846500873565674,3.804539918899536,3.7453200817108154,3.753999948501587,3.753999948501587,2303900
2014-11-01,,,,,,,,,,,,,338.6499938964844,340.52899169921875,321.05499267578125,325.7489929199219,325.7489929199219,16677200,,,,,,,3.756659984588623,3.7571499347686768,3.5590999126434326,3.570590019226074,3.570590019226074,2476220
2014-11-02,,,,,,,,,,,,,326.07501220703125,329.04998779296875,320.6260070800781,325.8919982910156,325.8919982910156,8603620,,,,,,,3.5768799781799316,3.6229100227355957,3.554500102996826,3.585099935531616,3.585099935531616,2031400
2014-11-03,,,,,,,,,,,,,325.5690002441406,334.00201416015625,325.4809875488281,327.5539855957031,327.5539855957031,12948500,,,,,,,3.5859100818634033,3.661750078201294,3.5563900470733643,3.5780599117279053,3.5780599117279053,2034500
2014-11-04,,,,,,,,,,,,,327.1610107421875,331.7669982910156,325.0769958496094,330.49200439453125,330.49200439453125,15655500,,,,,,,3.5804200172424316,3.619529962539673,3.547650098800659,3.5917599201202393,3.5917599201202393,2336120
2014-11-05,,,,,,,,,,,,,330.6830139160156,343.3689880371094,330.6830139160156,339.4859924316406,339.4859924316406,19817200,,,,,,,3.5903100967407227,3.6710898876190186,3.5903100967407227,3.644850015640259,3.644850015640259,2855540
2014-11-06,,,,,,,,,,,,,339.4580078125,352.96600341796875,338.42401123046875,349.2900085449219,349.2900085449219,18797000,,,,,,,3.6421399116516113,3.667409896850586,3.6187500953674316,3.64955997467041,3.64955997467041,2461750
2014-11-07,,,,,,,,,,,,,349.8179931640625,352.73199462890625,341.7760009765625,342.4150085449219,342.4150085449219,16834200,,,,,,,3.649669885635376,3.6619598865509033,3.55499005317688,3.5573699474334717,3.5573699474334717,2417010
2014-11-08,,,,,,,,,,,,,342.15399169921875,347.0320129394531,342.15399169921875,345.4880065917969,345.4880065917969,8535470,,,,,,,3.556649923324585,3.578749895095825,3.53233003616333,3.556260108947754,3.556260108947754,1508220
2014-11-09,,,,,,,,,,,,,345.3760070800781,363.6260070800781,344.2550048828125,363.2640075683594,363.2640075683594,24205600,,,,,,,3.554840087890625,3.6373000144958496,3.5469400882720947,3.631459951400757,3.631459951400757,1873830
2014-11-10,,,,,,,,,,,,,362.2650146484375,374.8160095214844,357.5610046386719,366.92401123046875,366.92401123046875,30450100,,,,,,,3.632159948348999,3.7310900688171387,3.593559980392456,3.6956300735473633,3.6956300735473633,3545550
2014-11-11,,,,,,,,,,,,,365.85699462890625,371.30999755859375,363.7349853515625,367.69500732421875,367.69500732421875,15838900,,,,,,,3.698509931564331,3.737799882888794,3.6743600368499756,3.6758899688720703,3.6758899688720703,2783960
2014-11-12,,,,,,,,,,,,,367.9849853515625,429.7179870605469,367.9849853515625,423.5610046386719,423.5610046386719,45783200,,,,,,,3.67972993850708,4.141510009765625,3.67972993850708,4.068610191345215,4.068610191345215,8733140
2014-11-13,,,,,,,,,,,,,427.27301025390625,457.0929870605469,401.12298583984375,420.7349853515625,420.7349853515625,58945000,,,,,,,4.132989883422852,4.350220203399658,4.01938009262085,4.097660064697266,4.097660064697266,13963000
2014-11-14,,,,,,,,,,,,,418.4169921875,419.25201416015625,384.78900146484375,397.8179931640625,397.8179931640625,29589200,,,,,,,4.0854997634887695,4.09119987487793,3.861639976501465,3.989370107650757,3.989370107650757,7587850
2014-11-15,,,,,,,,,,,,,399.6499938964844,405.52801513671875,371.00799560546875,376.13299560546875,376.13299560546875,15727500,,,,,,,3.992259979248047,4.037660121917725,3.8097500801086426,3.854330062866211,3.854330062866211,3891770
2014-11-16,,,,,,,,,,,,,374.7300109863281,390.79901123046875,374.60198974609375,387.8819885253906,387.8819885253906,11905600,,,,,,,3.8411900997161865,3.9009499549865723,3.8259899616241455,3.8836300373077393,3.8836300373077393,2991050
2014-11-17,,,,,,,,,,,,,388.3489990234375,410.1990051269531,377.50201416015625,387.4079895019531,387.4079895019531,41518800,,,,,,,3.8805599212646484,3.9969899654388428,3.8304800987243652,3.8774399757385254,3.8774399757385254,3967100
2014-11-18,,,,,,,,,,,,,387.7850036621094,392.4020080566406,371.11700439453125,375.197998046875,375.197998046875,32222500,,,,,,,3.875149965286255,3.9060399532318115,3.7518699169158936,3.770159959793091,3.770159959793091,4024840
2014-11-19,,,,,,,,,,,,,373.89599609375,386.4809875488281,373.89599609375,380.55499267578125,380.55499267578125,18931800,,,,,,,3.7799599170684814,3.8439300060272217,3.772480010986328,3.807460069656372,3.807460069656372,2858300
2014-11-20,,,,,,,,,,,,,380.3070068359375,382.0249938964844,356.781005859375,357.8399963378906,357.8399963378906,25233200,,,,,,,3.806960105895996,3.817500114440918,3.5854198932647705,3.6115500926971436,3.6115500926971436,3682840
2014-11-21,,,,,,,,,,,,,357.8789978027344,357.8789978027344,344.11199951171875,350.8479919433594,350.8479919433594,29850100,,,,,,,3.614300012588501,3.614300012588501,3.480410099029541,3.496929883956909,3.496929883956909,3851320
2014-11-22,,,,,,,,,,,,,351.60400390625,364.84100341796875,350.87799072265625,352.9200134277344,352.9200134277344,15273000,,,,,,,3.5011401176452637,3.6206300258636475,3.489219903945923,3.523289918899536,3.523289918899536,2446510
2014-11-23,,,,,,,,,,,,,353.17498779296875,370.8450012207031,353.17498779296875,367.572998046875,367.572998046875,15151600,,,,,,,3.522779941558838,3.6119699478149414,3.5157299041748047,3.594360113143921,3.594360113143921,1686970
2014-11-24,,,,,,,,,,,,,366.947998046875,387.2090148925781,366.66900634765625,376.9010009765625,376.9010009765625,30930100,,,,,,,3.594640016555786,3.689079999923706,3.5695900917053223,3.6285500526428223,3.6285500526428223,3281530
2014-11-25,,,,,,,,,,,,,376.885986328125,394.70098876953125,374.78399658203125,375.3479919433594,375.3479919433594,25442200,,,,,,,3.6249799728393555,3.696700096130371,3.5450499057769775,3.567500114440918,3.567500114440918,3468870
